"","ID","PartnerPolicy","Trial","Intentions_RT","Correct","Incorrect","Real_Answer","Agency","HI","SI","Final_Guess","Control","Game","CumulativeCor","Propab","Proprel","Sum","PercentageCor","Age","Education","Ethnicity","Religion","Sex","BigLadder","ComLadder","Persec","SocRef","CD","IA","IN","UE","BOLIFEtot","ICARTot","ICARrt","Response","Type1","Type2","Option1_PPT","Option1_Partner","Option2_PPT","Option2_Partner","Diff1","Diff2","Choice","ChoiceAction"
"1","54240de1fdf99b691fb383a8","Competative",1,2550.89499987662,1,0,"Option 1",3,NA,NA,NA,0,"Choose",1,0.0555555555555556,1,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Prosocial","Individual",8,8,10,5,0,5,"Prosocial",1
"2","54240de1fdf99b691fb383a8","Competative",2,9468.27500010841,1,0,"Option 2",3,NA,NA,NA,0,"Choose",2,0.111111111111111,1,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Individual","Prosocial",12,5,8,8,0,7,"Prosocial",1
"3","54240de1fdf99b691fb383a8","Competative",3,5580.88499982841,0,1,"Option 2",3,NA,NA,NA,0,"Choose",2,0.111111111111111,0.666666666666667,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Competative","Individual",10,6,8,2,6,4,"Competative",3
"4","54240de1fdf99b691fb383a8","Competative",4,3610.19999999553,0,1,"Option 2",3,NA,NA,NA,0,"Choose",2,0.111111111111111,0.5,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Competative","Individual",12,6,10,2,8,6,"Competative",3
"5","54240de1fdf99b691fb383a8","Competative",5,2334.67500004917,1,0,"Option 2",3,NA,NA,NA,0,"Choose",3,0.166666666666667,0.6,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Competative","Prosocial",9,5,9,9,0,4,"Prosocial",1
"6","54240de1fdf99b691fb383a8","Competative",6,2392.83500006422,1,0,"Option 2",3,NA,NA,NA,0,"Choose",4,0.222222222222222,0.666666666666667,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Individual","Prosocial",12,5,9,9,0,7,"Prosocial",1
"7","54240de1fdf99b691fb383a8","Competative",7,2069.24999994226,1,0,"Option 1",3,NA,NA,NA,0,"Choose",5,0.277777777777778,0.714285714285714,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Prosocial","Competative",8,8,8,2,0,6,"Prosocial",1
"8","54240de1fdf99b691fb383a8","Competative",8,1453.11000011861,1,0,"Option 1",3,NA,NA,NA,0,"Choose",6,0.333333333333333,0.75,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Prosocial","Competative",6,6,6,2,0,4,"Prosocial",1
"9","54240de1fdf99b691fb383a8","Competative",9,1764.81999992393,1,0,"Option 1",3,NA,NA,NA,0,"Choose",7,0.388888888888889,0.777777777777778,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Prosocial","Individual",6,6,10,5,0,5,"Prosocial",1
"10","54240de1fdf99b691fb383a8","Competative",10,2956.91499998793,1,0,"Option 2",3,NA,NA,NA,0,"Choose",8,0.444444444444444,0.8,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Competative","Individual",7,2,8,5,5,3,"Individual",2
"11","54240de1fdf99b691fb383a8","Competative",11,1452.76000001468,1,0,"Option 2",3,NA,NA,NA,0,"Choose",9,0.5,0.818181818181818,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Competative","Prosocial",10,5,10,10,0,5,"Prosocial",1
"12","54240de1fdf99b691fb383a8","Competative",12,1842.82999997959,1,0,"Option 1",3,NA,NA,NA,0,"Choose",10,0.555555555555556,0.833333333333333,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Prosocial","Competative",7,7,7,2,0,5,"Prosocial",1
"13","54240de1fdf99b691fb383a8","Competative",13,2079.66999989003,1,0,"Option 2",3,NA,NA,NA,0,"Choose",11,0.611111111111111,0.846153846153846,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Competative","Prosocial",8,5,8,8,0,3,"Prosocial",1
"14","54240de1fdf99b691fb383a8","Competative",14,2352.45499992743,1,0,"Option 2",3,NA,NA,NA,0,"Choose",12,0.666666666666667,0.857142857142857,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Competative","Individual",8,2,9,5,6,4,"Individual",2
"15","54240de1fdf99b691fb383a8","Competative",15,1810.71000010706,1,0,"Option 2",3,NA,NA,NA,0,"Choose",13,0.722222222222222,0.866666666666667,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Individual","Prosocial",12,5,10,10,0,7,"Prosocial",1
"16","54240de1fdf99b691fb383a8","Competative",16,2162.5050001312,0,1,"Option 2",3,NA,NA,NA,0,"Choose",13,0.722222222222222,0.8125,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Competative","Individual",11,6,9,2,7,5,"Competative",3
"17","54240de1fdf99b691fb383a8","Competative",17,2571.84000010602,1,0,"Option 2",3,NA,NA,NA,0,"Choose",14,0.777777777777778,0.823529411764706,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,2,"Competative","Individual",6,2,8,5,4,3,"Individual",2
"18","54240de1fdf99b691fb383a8","Competative",18,1751.77500001155,1,0,"Option 1",3,NA,NA,NA,0,"Choose",15,0.833333333333333,0.833333333333333,15,0.833333333333333,57,"Undergraduate Degree (e.g. BSc; MBBS)","English/Welsh/Scottish/Northern Irish/British","Spiritualist","Female",49,49,0,0,0,4,3,5,12,3,19427.39,1,"Prosocial","Individual",7,7,10,5,0,5,"Prosocial",1
"19","54b60d74fdf99b1ce0367ab5","Prosocial",1,2103.03499997826,0,1,"Option 2",78,NA,NA,NA,1,"Choose",0,0,0,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Competative","Individual",12,6,10,2,8,6,"Competative",3
"20","54b60d74fdf99b1ce0367ab5","Prosocial",2,1542.46999998577,1,0,"Option 1",78,NA,NA,NA,1,"Choose",1,0.0555555555555556,0.5,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Prosocial","Competative",8,8,8,2,0,6,"Prosocial",1
"21","54b60d74fdf99b1ce0367ab5","Prosocial",3,1205.185000028,0,1,"Option 2",78,NA,NA,NA,1,"Choose",1,0.0555555555555556,0.333333333333333,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Individual","Prosocial",12,5,8,8,0,7,"Individual",2
"22","54b60d74fdf99b1ce0367ab5","Prosocial",4,1685.56000001263,1,0,"Option 1",78,NA,NA,NA,1,"Choose",2,0.111111111111111,0.5,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Prosocial","Competative",6,6,6,2,0,4,"Prosocial",1
"23","54b60d74fdf99b1ce0367ab5","Prosocial",5,2007.51500000479,1,0,"Option 2",78,NA,NA,NA,1,"Choose",3,0.166666666666667,0.6,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,2,"Competative","Individual",10,6,8,2,6,4,"Individual",2
"24","54b60d74fdf99b1ce0367ab5","Prosocial",6,2311.15999998292,0,1,"Option 2",78,NA,NA,NA,1,"Choose",3,0.166666666666667,0.5,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Individual","Prosocial",12,5,9,9,0,7,"Individual",2
"25","54b60d74fdf99b1ce0367ab5","Prosocial",7,1507.44499999564,0,1,"Option 2",78,NA,NA,NA,1,"Choose",3,0.166666666666667,0.428571428571429,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Competative","Prosocial",8,5,8,8,0,3,"Competative",3
"26","54b60d74fdf99b1ce0367ab5","Prosocial",8,1070.34000003478,1,0,"Option 1",78,NA,NA,NA,1,"Choose",4,0.222222222222222,0.5,9,0.5,31,"College/Sixth Form (A level or equivalent)","""White""","Atheist","Female",50,57,17,28,6,3,8,5,22,3,7887.37,1,"Prosocial","Competative",7,7,7,2,0,5,"Prosocial",1
